Row,Faculty,AcademicCareer,CourseCode,CourseName,CourseID,OfferingSeq,Year,T,TermSeq,TermCode,SortKey,IsRedacted,FL,UF,AF,NF,PS,CR,DN,HD,AW,PW,CN,CO,CM,SY,EF,EC,EM,AS,PE,NC,FailSum,WithdrawSum,NonstdSum,OtherSum,Fail_norm,PS_norm,CR_norm,DN_norm,HD_norm,IsNonStandardGrading,Note,Index
15482,"Faculty of Arts, Design and Architecture",U,MUSC2801,Music Performance Styles,064192,1,2021,Term 3,5,21T3,20215,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Redacted by university under GIPA s.3(a)/3(b),
15483,"Faculty of Arts, Design and Architecture",U,MUSC2802,Music Studio Teaching,064193,1,2021,Term 3,5,21T3,20215,False,,,,,25.0,25.0,41.67,8.33,,,,,,,,,,,,,,,,,0.0,25.0,25.0,41.67,8.33,False,,35.41
15484,"Faculty of Arts, Design and Architecture",U,MUSC2803,Creative Sound Design,064084,1,2021,Term 3,5,21T3,20215,False,11.76,,,,,5.88,47.06,35.29,,,,,,,,,,,,,11.76,,,,11.76,0.0,5.88,47.06,35.29,False,,48.53
15485,"Faculty of Arts, Design and Architecture",U,MUSC2804,Music at the Edge,064194,1,2021,Term 3,5,21T3,20215,False,14.29,,,,7.14,35.71,21.43,21.43,,,,,,,,,,,,,14.29,,,,14.29,7.14,35.71,21.43,21.43,False,,26.78
15486,"Faculty of Arts, Design and Architecture",U,MUSC3105,Psychology of Music,061903,1,2021,Term 3,5,21T3,20215,False,4.17,,,,29.17,12.5,50.0,4.17,,,,,,,,,,,,,4.17,,,,4.17,29.17,12.5,50.0,4.17,False,,28.12
15487,"Faculty of Arts, Design and Architecture",U,MUSC3705,Performance Lab C,065840,1,2021,Term 3,5,21T3,20215,False,8.33,,,,,25.0,66.67,,,,,,,,,,,,,,8.33,,,,8.33,0.0,25.0,66.67,0.0,False,,31.26
15488,"Faculty of Arts, Design and Architecture",U,MUSC3706,Performance Lab C (MCP/MP),065841,1,2021,Term 3,5,21T3,20215,False,,,,,4.55,18.18,31.82,40.91,4.55,,,,,,,,,,,,,4.55,,,0.0,4.77,19.05,33.34,42.86,False,,64.29
15489,"Faculty of Arts, Design and Architecture",U,MUSC3802,Music Analysis,064228,1,2021,Term 3,5,21T3,20215,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Redacted by university under GIPA s.3(a)/3(b),
15490,"Faculty of Arts, Design and Architecture",U,MUSC3804,Educating the Musical Novice,064420,1,2021,Term 3,5,21T3,20215,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Redacted by university under GIPA s.3(a)/3(b),
15491,"Faculty of Arts, Design and Architecture",U,MUSC3806,Immersive Audio,064423,1,2021,Term 3,5,21T3,20215,False,,,,5.26,5.26,10.53,47.37,31.58,,,,,,,,,,,,,5.26,,,,5.26,5.26,10.53,47.37,31.58,False,,52.64
15492,"Faculty of Arts, Design and Architecture",U,MUSC4013,Music Creative Prac Project,064887,1,2021,Term 3,5,21T3,20215,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Redacted by university under GIPA s.3(a)/3(b),
15493,"Faculty of Arts, Design and Architecture",U,MUSC4014,Music Creative Prac Project,064890,1,2021,Term 3,5,21T3,20215,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Redacted by university under GIPA s.3(a)/3(b),
